blend_id,blend_name_zh,oil_name_zh,oil_name_en,drops,role_note
1,放鬆舒壓按摩油,薰衣草精油,Lavender oil,5,放鬆香氣主軸
1,放鬆舒壓按摩油,佛手柑精油 FCF,Bergamot oil,4,情緒提振與柑橘調
1,放鬆舒壓按摩油,乳香精油,Frankincense oil,3,安定與樹脂調
2,睡前安眠按摩油,薰衣草精油,Lavender oil,3,睡前放鬆
2,睡前安眠按摩油,雪松精油,Cedar oil,2,木質安定感
2,睡前安眠按摩油,羅馬洋甘菊精油,Chamomile oil,1,柔和舒緩
3,頭頸舒緩按摩油,薄荷精油,Peppermint oil,2,清涼感
3,頭頸舒緩按摩油,薰衣草精油,Lavender oil,4,緊繃舒緩
3,頭頸舒緩按摩油,乳香精油,Frankincense oil,3,平衡香氣
4,運動後肌肉舒緩按摩油,薰衣草精油,Lavender oil,5,舒緩基底
4,運動後肌肉舒緩按摩油,迷迭香精油,Rosemary oil,4,運動後按摩感
4,運動後肌肉舒緩按摩油,尤加利精油,Eucalyptus oil,3,清新涼感
4,運動後肌肉舒緩按摩油,薑精油,Ginger oil,3,溫暖感
5,關節靈活按摩油,乳香精油,Frankincense oil,4,樹脂調舒緩
5,關節靈活按摩油,薑精油,Ginger oil,3,溫暖感
5,關節靈活按摩油,薰衣草精油,Lavender oil,3,柔化配方
5,關節靈活按摩油,黑胡椒精油,Black pepper oil,2,暖感按摩
6,腹部順暢按摩油,薄荷精油,Peppermint oil,2,清涼與腹部舒緩感
6,腹部順暢按摩油,薑精油,Ginger oil,3,溫暖感
6,腹部順暢按摩油,甜橙精油,Sweet orange oil,4,柔和柑橘調
7,經期暖腹按摩油,薰衣草精油,Lavender oil,5,放鬆舒緩
7,經期暖腹按摩油,快樂鼠尾草精油,Clary Sage oil,4,經期按摩常用
7,經期暖腹按摩油,甜馬鬱蘭精油,Marjoram,3,溫暖放鬆
8,胸背清新按摩油,尤加利精油,Eucalyptus oil,2,清新呼吸感
8,胸背清新按摩油,茶樹精油,Tea tree oil,2,清潔感
8,胸背清新按摩油,薰衣草精油,Lavender oil,2,柔化刺激感
9,瑕疵肌調理按摩油,茶樹精油,Tea tree oil,3,瑕疵肌常用
9,瑕疵肌調理按摩油,薰衣草精油,Lavender oil,2,舒緩
9,瑕疵肌調理按摩油,天竺葵精油,Geranium oil,1,肌膚平衡香氣
10,活力提振按摩油,葡萄柚精油,Grapefruit oil,4,明亮柑橘調
10,活力提振按摩油,迷迭香精油,Rosemary oil,3,提振感
10,活力提振按摩油,薄荷精油,Peppermint oil,2,清涼醒神
11,冥想安定按摩油,乳香精油,Frankincense oil,4,冥想常用樹脂調
11,冥想安定按摩油,岩蘭草精油,Vetiver oil,2,深沉安定
11,冥想安定按摩油,雪松精油,Cedar oil,3,木質基底
11,冥想安定按摩油,甜橙精油,Sweet orange oil,3,柔和明亮感
12,足腿疲勞按摩油,薄荷精油,Peppermint oil,2,足腿清涼感
12,足腿疲勞按摩油,絲柏精油,Cypress oil,3,腿部按摩常用
12,足腿疲勞按摩油,薰衣草精油,Lavender oil,4,舒緩基底
