rank,name,company_type,headquarters,country,founded_year,core_products,quality_or_sourcing_notes,selection_reason,confidence,website
1,doTERRA,"Consumer essential-oil and wellness company","Pleasant Grove, Utah","United States",2008,"Single essential oils, blends, diffusers, wellness and personal-care products","CPTG quality program; Co-Impact Sourcing; oils sourced from 40+ countries","Appears repeatedly as a leading aromatherapy/essential-oils company in market reports; official site claims very large global customer and country reach.",High,https://www.doterra.com/
2,"Young Living Essential Oils","Consumer essential-oil and wellness company","Lehi, Utah","United States",1994,"Essential oils, blends, diffusers, wellness products","Seed to Seal process; farms and offices across multiple regions","One of the most frequently cited global leaders in essential oils and aromatherapy, with long operating history and broad direct-selling network.",High,https://www.youngliving.com/
3,Biolandes,"B2B natural extracts and essential-oil supplier","Le Sen, Landes",France,1980,"Essential oils, hydrolates, absolutes, concretes, resinoids, waxes, gums and plant extracts","Vertically integrated farms, subsidiaries and distilleries; 700+ natural extracts from 35 countries","Named by market reports as a major aromatherapy/essential-oils player; strong industrial supply role for perfumery, cosmetics, flavors and aromatherapy.",High,https://www.biolandes.com/en/
4,"Mountain Rose Herbs","Botanical retailer and supplier","Eugene, Oregon","United States",1987,"Organic herbs, teas, carrier oils, essential oils and DIY ingredients","Focus on organic, sustainable and wild-harvested botanicals","Listed by aromatherapy market research among key companies; long-running botanical supplier with essential-oil product line.",Medium,https://mountainroseherbs.com/
5,"Edens Garden","Direct-to-consumer essential-oil brand","San Clemente, California","United States",2009,"Essential oils, blends, roll-ons, carrier oils and aromatherapy products","GC/MS tested; vegan and cruelty-free; 250+ oils and blends","Named in aromatherapy market company lists and widely cited among major consumer essential-oil brands.",Medium,https://www.edensgarden.com/
6,"Rocky Mountain Oils","Direct-to-consumer essential-oil brand","Orem, Utah","United States",,"Essential oils, blends, roll-ons, diffusers and wellness accessories","Positioned around transparency, purity and sustainability; non-MLM model","Appears in market reports as a top essential-oils company and is a major North American consumer aromatherapy brand.",Medium,https://www.rockymountainoils.com/
7,"Plant Therapy","Direct-to-consumer essential-oil and natural-living brand","Twin Falls, Idaho","United States",2011,"Essential oils, KidSafe blends, carrier oils, diffusers, body care, organics and household products","Family-founded; education-led positioning; donation program and clean natural-living focus","Included by aromatherapy market research among key players; strong DTC presence in essential oils and aromatherapy education.",Medium,https://www.planttherapy.com/
8,Florihana,"Organic distillery and aromatherapy brand","Caussols, Provence-Alpes-Cote d'Azur",France,,"Certified organic essential oils, hydrosols, vegetable oils, CO2 extracts and skincare","Family-owned distillery; certified organic and natural product emphasis; 30+ years of expertise","Listed in aromatherapy market reports; distinctive European organic distillery with aromatherapy focus.",Medium,https://www.florihana.com/en/
9,"NOW Foods / NOW Essential Oils","Natural-products company with essential-oils line","Bloomingdale, Illinois","United States",1968,"Essential oils, blends, supplements, natural foods, personal care and wellness products","In-house and quality-assurance testing; broad value-oriented natural-products distribution","Appears in aromatherapy/essential-oils market company lists; broad retail reach and established essential-oils line.",Medium,https://www.nowfoods.com/
10,"Aura Cacia","Essential-oil brand under Frontier Co-op","Urbana, Iowa / Norway, Iowa","United States",1982,"Essential oils, skin care oils, diffusers, mists and bath products","Careful sustainable sourcing; tests every shipment for purity and quality; Frontier Co-op ownership","A long-running aromatherapy brand with broad natural-retail presence; included as a notable market player through Frontier Co-op/Aura Cacia context.",Medium,https://www.auracacia.com/
