rank,common_name_zh,common_name_en,botanical_name,plant_part,main_aroma_profile,typical_aromatherapy_uses,evidence_summary,safety_notes,suggested_use_notes,confidence
1,"茶樹精油","Tea tree oil","Melaleuca alternifolia",Leaves,"Fresh, medicinal, camphoraceous","Skin-focused aromatherapy and topical formulas; commonly promoted for acne, athlete's foot, minor skin concerns and antimicrobial personal care.","NCCIH: small amount of evidence suggests topical tea tree oil may help acne and athlete's foot, but more studies are needed. IMARC lists tea tree as the largest essential-oil product segment in 2025.","Do not swallow. Oral intake can cause serious toxicity. May cause skin redness or irritation, especially if oxidized/old. Use extra caution around small children and pets.","Use externally only; dilute for most skin use and patch test first. Avoid diffuser use in households where sensitive children, pets or respiratory-sensitive people may be exposed.","High for market rank; Medium for topical acne/athlete's-foot evidence"
2,"薰衣草精油","Lavender oil","Lavandula angustifolia",Flowers,"Floral, herbal, soft","Relaxation routines, sleep support, stress relief, massage blends and bath products.","NCCIH: aromatherapy benefits for anxiety, stress, pain and sleep remain unclear, though some people report improved quality of life; oral lavender products have limited evidence for anxiety. IMARC lists lavender as the second-largest product segment in 2025.","Aromatherapy is considered possibly safe but may cause headache or coughing. Topical products can trigger allergic skin reactions. Possible interaction concern with sedatives; limited pregnancy/breastfeeding safety data.","Diffuse lightly or use diluted in carrier oil. Avoid treating anxiety, insomnia or depression solely with lavender without professional care.","High for market rank; Low-to-Medium for aromatherapy clinical evidence"
3,"甜橙精油","Sweet orange oil","Citrus sinensis",Peel,"Bright, sweet, citrus","Mood-lifting scent, room diffusion, home fragrance, cleaning blends and massage blends.","Cleveland Clinic lists orange oil as commonly used to reduce anxiety and pain and to kill bacteria; Fact.MR identifies citrus oils as a major essential-oil product category.","Cold-pressed citrus oils may increase sun sensitivity depending on composition. Skin irritation is possible. Avoid ingestion unless supervised by a qualified professional.","Use in short diffusion sessions or diluted topical blends; avoid sun/UV exposure after topical citrus oil use unless the product is verified non-phototoxic.",Medium
4,"薄荷精油","Peppermint oil","Mentha x piperita","Leaves and flowering tops","Minty, cooling, sharp","Mental refreshment, fatigue support, headache massage blends, nausea support and digestive-wellness products.","NCCIH: enteric-coated peppermint oil may improve IBS symptoms in adults; limited evidence suggests inhaled peppermint may reduce chemotherapy-related nausea/vomiting; topical use may help tension headaches.","Can cause heartburn, nausea, abdominal pain, dry mouth or allergic reactions when taken orally. Skin rashes/irritation possible. Do not apply to face of infants or young children due to menthol breathing risk.","For aromatherapy, inhale gently and avoid use around very young children. For topical use, dilute well and keep away from eyes and mucous membranes.","High for IBS oral capsule evidence; Medium for nausea/headache aromatherapy/topical uses"
5,"尤加利精油","Eucalyptus oil","Eucalyptus globulus / Eucalyptus spp.",Leaves,"Camphoraceous, fresh, clearing","Seasonal respiratory comfort, steam-style inhalation, muscle rubs and spa blends.","Cleveland Clinic describes eucalyptus as commonly used for stuffy-nose comfort, pain relief and antimicrobial/anti-inflammatory purposes; Fact.MR lists eucalyptus among major product categories.","Do not ingest. Can have dangerous effects in children and pets. Must be diluted before topical use; may irritate skin or airways.","Use low amounts in diffusion or steam-like inhalation; avoid around infants, young children, pets, asthma-sensitive people or seizure-prone individuals unless cleared by a clinician.",Medium
6,"檸檬精油","Lemon oil","Citrus limon",Peel,"Bright, zesty, clean citrus","Mood support, nausea support, cleaning blends, room diffusion and freshness blends.","NCCIH lists lemon among oils used in aromatherapy; Cleveland Clinic lists lemon oil as commonly used for anxiety/depression, pain, nausea and antibacterial purposes, and cites limited aromatherapy research involving cognitive function.","Can increase photosensitivity and sunburn risk after topical use. Skin irritation possible. Avoid ingestion without professional guidance.","Diffuse in small amounts or use diluted in topical blends; avoid direct sun/UV exposure after topical application.",Medium
7,"佛手柑精油","Bergamot oil","Citrus bergamia",Peel,"Citrus, floral, lightly bitter","Stress support, mood blends, relaxation rituals and perfumery-style aromatherapy.","NCCIH lists bergamot among oils used in aromatherapy; Cleveland Clinic lists bergamot oil as commonly used to reduce anxiety, lift mood and lower blood pressure.","Many bergamot oils are phototoxic unless bergapten-free/FCF. May irritate skin. People using blood-pressure medication should be cautious about unsupported therapeutic use.","Prefer diffuser use or properly diluted topical use with bergapten-free oil; avoid sun/UV exposure after topical application unless non-phototoxic status is confirmed.",Medium
8,"乳香精油","Frankincense oil","Boswellia spp.",Resin,"Resinous, woody, balsamic","Meditation, grounding blends, skin-care aromatherapy, sleep and mood routines.","Cleveland Clinic lists frankincense as commonly used for inflammation, mood and sleep, with additional preliminary areas such as asthma and gum health.","May irritate skin if not diluted. Evidence for disease treatment is limited; do not replace asthma, inflammatory or dental treatment.","Use in diffuser or diluted topical blends. Treat claims as wellness-supportive, not curative.",Medium-Low
9,"迷迭香精油","Rosemary oil","Salvia rosmarinus / Rosmarinus officinalis","Leaves and flowering tops","Herbal, camphoraceous, green","Focus, alertness, hair/scalp blends, muscle/joint massage and mood support.","Cleveland Clinic lists rosemary oil as commonly used for brain function, hair growth, pain/stress reduction, mood and joint inflammation.","Avoid during pregnancy or if you have epilepsy or high blood pressure unless advised by a clinician. Skin irritation possible; dilute before topical use.","Use lightly for diffusion or in diluted topical blends. Avoid high-dose or prolonged exposure for sensitive users.",Medium-Low
10,"雪松精油","Cedarwood oil","Cedrus atlantica / Juniperus virginiana and related species",Wood,"Dry, woody, warm","Sleep blends, calming routines, grounding blends, deodorant/insect-repellent style formulas and scalp products.","NCCIH lists cedarwood among oils used in aromatherapy; Cleveland Clinic lists cedarwood as commonly used for sleep and anxiety and notes antioxidant/antibacterial properties.","Can irritate skin; do not ingest. Species and chemistry vary, so safety and scent profile differ by product.","Use diluted on skin or diffuse in low amounts, especially at bedtime. Confirm botanical species for formulation work.",Medium-Low
