id,name_en,oil_type,botanical_names,description_summary,use_categories,aromatherapy_mentioned,safety_flags,source_url,source_name,accessed_date
1,Agar oil,essential oil or volatile aromatic oil,,"Agar oil or oodh, distilled from agarwood (Aquilaria malaccensis). Highly prized for its fragrance.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Agar_oil,Wikipedia: List of essential oils,2026-05-08
2,Ajwain oil,essential oil or volatile aromatic oil,Carum copticum,"Ajwain oil, distilled from the leaves of (Carum copticum). Oil contains 35–65% thymol.",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Ajwain#Essential_oil,Wikipedia: List of essential oils,2026-05-08
3,Amyris oil,essential oil or volatile aromatic oil,,Amyris oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Amyris,Wikipedia: List of essential oils,2026-05-08
4,Angelica root oil,essential oil or volatile aromatic oil,Angelica archangelica,"Angelica root oil, distilled from the Angelica archangelica. Has a green musky scent.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Angelica,Wikipedia: List of essential oils,2026-05-08
5,Anise oil,essential oil or volatile aromatic oil,Pimpinella anisum,"Anise oil, from the Pimpinella anisum, rich odor of licorice",general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Anise_oil,Wikipedia: List of essential oils,2026-05-08
6,Armoise/Mugwort oil,essential oil or volatile aromatic oil,,Armoise/Mugwort oil A green and camphorous essential oil.,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Mugwort,Wikipedia: List of essential oils,2026-05-08
7,Asafoetida oil,essential oil or volatile aromatic oil,,"Asafoetida oil, used to flavor food.",flavor/food,0,,https://en.wikipedia.org/wiki/Asafoetida,Wikipedia: List of essential oils,2026-05-08
8,Attar,attar/perfume oil,,"Attar or ittar, used in perfumes for fragrances such as rose and sandlewood.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Attar,Wikipedia: List of essential oils,2026-05-08
9,Balsam of Peru,essential oil or volatile aromatic oil,,"Balsam of Peru, from the Myroxylon, used in food and drink for flavoring, in perfumes and toiletries for a cheaper alternative to vanilla.",perfumery/fragrance; flavor/food; cosmetics/skin/hair,0,,https://en.wikipedia.org/wiki/Balsam_of_Peru,Wikipedia: List of essential oils,2026-05-08
10,Basil oil,essential oil or volatile aromatic oil,,"Basil oil, used in making perfumes, as well as in aromatherapy",aromatherapy; perfumery/fragrance,1,,https://en.wikipedia.org/wiki/Basil_oil,Wikipedia: List of essential oils,2026-05-08
11,Bay leaf oil,essential oil or volatile aromatic oil,,Bay leaf oil is used in perfumery and aromatherapy,aromatherapy; perfumery/fragrance,1,,https://en.wikipedia.org/wiki/Bay_laurel,Wikipedia: List of essential oils,2026-05-08
12,Beeswax absolute,absolute,,"Beeswax absolute A solid absolute with a rich, honeyed scent. Mainly used in perfumery.",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Beeswax,Wikipedia: List of essential oils,2026-05-08
13,Bergamot oil,essential oil or volatile aromatic oil,,"Bergamot oil, used in aromatherapy and in perfumes.",aromatherapy; perfumery/fragrance,1,,https://en.wikipedia.org/wiki/Bergamot_essential_oil,Wikipedia: List of essential oils,2026-05-08
14,Birch oil,essential oil or volatile aromatic oil,,Birch oil used in aromatherapy,aromatherapy,1,,https://en.wikipedia.org/wiki/Birch,Wikipedia: List of essential oils,2026-05-08
15,Bitter Almond oil,essential oil or volatile aromatic oil,,"Bitter Almond oil, Mainly used to extract benzaldehyde for the use of perfumery. Has a rich maraschino cherry scent",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/List_of_essential_oils,Wikipedia: List of essential oils,2026-05-08
16,Black pepper oil,essential oil or volatile aromatic oil,Piper nigrum,Black pepper oil is distilled from the berries of Piper nigrum.,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Black_pepper,Wikipedia: List of essential oils,2026-05-08
17,Buchu oil,essential oil or volatile aromatic oil,,"Buchu oil, made from the buchu shrub. Considered toxic and no longer widely used. Formerly used medicinally.",traditional/medicinal,0,toxic,https://en.wikipedia.org/wiki/Buchu,Wikipedia: List of essential oils,2026-05-08
18,Calamodin oil,essential oil or volatile aromatic oil,,Calamodin oil or calamansi essential oil comes from a citrus tree in the Philippines extracted via cold press or steam distillation.,general essential-oil/perfumery reference,0,photosensitivity possible,https://en.wikipedia.org/wiki/Calamondin#Essential_oil,Wikipedia: List of essential oils,2026-05-08
