id,name_zh,name_en,symptom_zh,symptom_slug,carrier_oil,batch_size_ml,dilution_percent,total_essential_oil_drops,usage_area,use_instructions,evidence_note,safety_note,contraindications,target_user
1,放鬆舒壓按摩油,Calm Stress Massage Oil,壓力與焦慮,stress_anxiety,荷荷芭油或甜杏仁油,30,2.0,12,肩頸、胸口外側、手臂或足底,取少量按摩 5-10 分鐘；壓力高時每日 1 次，連續使用 1-2 週後停用觀察。,薰衣草常用於放鬆與壓力支持；Johns Hopkins 指出芳療研究結果不一，適合作為輔助舒緩。,敏感肌先做斑貼測試。佛手柑需使用 FCF/無光敏版本，或避免日曬部位。,孕期、哺乳、氣喘或正在用藥者先諮詢專業人員。,成人一般肌膚
2,睡前安眠按摩油,Bedtime Sleep Massage Oil,睡眠困難,sleep_support,甜杏仁油或分餾椰子油,30,1.0,6,足底、小腿、肩頸,睡前 30 分鐘少量按摩，避免塗在臉部與眼周。,薰衣草常被用於睡前放鬆；NCCIH 對薰衣草芳療改善睡眠的證據評估仍偏保守。,避免與鎮靜藥物用途混淆；若有失眠疾病或長期睡眠問題，應尋求醫療評估。,孕期、嬰幼兒、對菊科/洋甘菊過敏者慎用。,成人與敏感者低濃度配方
3,頭頸舒緩按摩油,Head and Neck Tension Massage Oil,頭痛與頸肩緊繃,headache_neck_tension,荷荷芭油或葡萄籽油,30,1.5,9,後頸、肩線、太陽穴外側少量,避開眼周，少量按摩緊繃處；太陽穴只用極少量且不可接近眼睛。,薄荷外用有頭痛相關研究線索；NCCIH 對薄荷油的證據較支持腸胃用途，頭痛屬局部輔助舒緩。,薄荷含薄荷醇，不可用於嬰幼兒臉部或鼻口附近。,孕期、癲癇、幼兒、薄荷敏感者不建議使用。,成人局部使用
4,運動後肌肉舒緩按摩油,Post-Workout Muscle Massage Oil,肌肉痠痛,muscle_soreness,葡萄籽油或甜杏仁油,30,2.5,15,大腿、小腿、肩背等局部肌肉,運動後淋浴後按摩局部肌肉；不要用於破皮、瘀青或發炎熱痛處。,NAHA 將肌肉與關節疼痛列為芳療按摩常見使用情境；此配方定位為按摩舒緩。,迷迭香、尤加利與薑可能刺激敏感肌；先斑貼測試。,孕期、癲癇、高血壓、氣喘或抗凝血用藥者先諮詢專業人員。,成人局部使用
5,關節靈活按摩油,Joint Ease Massage Oil,關節僵硬,joint_stiffness,甜杏仁油或橄欖油,30,2.0,12,膝、腕、肩等關節周圍肌肉，不塗開放傷口,活動前後按摩關節周圍 3-5 分鐘；不取代止痛藥或復健。,乳香、薑與黑胡椒常被用於溫暖型按摩油；臨床治療證據有限。,黑胡椒與薑有溫熱感，敏感肌需降低濃度。,急性紅腫熱痛、關節變形、原因不明疼痛需先就醫。,成人局部使用
6,腹部順暢按摩油,Digestive Comfort Belly Oil,消化不適,digestive_discomfort,分餾椰子油或甜杏仁油,30,1.5,9,腹部,飯後至少 1 小時，以順時針方向輕柔按摩腹部。,薄荷油對 IBS 的較強證據主要來自腸溶膠囊口服研究；外用腹部按摩僅作舒緩參考。,不可口服。薄荷可能刺激胃食道逆流族群，外用也需觀察反應。,孕期、幼兒、胃食道逆流嚴重者或腹痛原因不明者不建議自行使用。,成人低至中濃度腹部使用
7,經期暖腹按摩油,Menstrual Comfort Massage Oil,經期不適,menstrual_discomfort,甜杏仁油或荷荷芭油,30,2.0,12,下腹部、下背部,經期前或經期中少量按摩下腹與下背；疼痛劇烈或異常出血應就醫。,薰衣草、快樂鼠尾草與甜馬鬱蘭常見於經期按摩配方；屬輔助舒緩用途。,快樂鼠尾草不建議孕期使用；避免與酒精或鎮靜情境混用。,孕期、備孕不確定是否懷孕、荷爾蒙相關疾病者先諮詢專業人員。,成人女性非孕期
8,胸背清新按摩油,Clear Breathing Chest and Back Oil,呼吸道悶塞感,respiratory_congestion,葡萄籽油或分餾椰子油,30,1.0,6,胸口外側、上背部,少量塗抹胸背，不塗鼻下、臉部或黏膜；使用後保持空氣流通。,尤加利與茶樹常見於呼吸道清新感配方；不是感染或氣喘治療。,尤加利與茶樹對幼兒、寵物和氣喘敏感者風險較高。,嬰幼兒、氣喘、癲癇、呼吸困難、發燒或胸痛者不建議自行使用。,成人低濃度局部使用
9,瑕疵肌調理按摩油,Blemish Care Body Oil,肌膚瑕疵,skin_blemish,荷荷芭油,30,1.0,6,背部、胸口或局部瑕疵處，避開臉部大面積,洗澡後薄擦；先小範圍測試 24 小時。,NCCIH 指出茶樹外用對痘痘有少量證據，但仍需更多研究。,茶樹不可口服；氧化或老舊精油更易刺激皮膚。,嚴重痤瘡、傷口感染、濕疹急性期或對茶樹/天竺葵過敏者避免。,成人身體肌膚低濃度使用
10,活力提振按摩油,Energy Lift Massage Oil,疲勞與低落,fatigue_low_mood,葡萄籽油或荷荷芭油,30,1.5,9,手臂、肩背、小腿,白天少量按摩；避免睡前使用。,柑橘、薄荷與迷迭香常被用於提振氣味配方；以主觀精神感受為主。,葡萄柚與柑橘類可能有光敏風險；日曬部位使用需選非光敏規格或避免曝曬。,孕期、癲癇、高血壓、幼兒或對薄荷敏感者不建議使用。,成人白天局部使用
11,冥想安定按摩油,Grounding Meditation Massage Oil,冥想與安定,grounding_meditation,荷荷芭油或甜杏仁油,30,2.0,12,手腕內側、胸口外側、足底,冥想或瑜伽後少量按摩，搭配深呼吸。,乳香、岩蘭草與雪松多用於安定、木質調配方；證據多屬傳統與使用經驗。,避免塗抹於黏膜；若氣味造成頭暈或不適即停用。,孕期、氣喘或香氣敏感者先做低濃度測試。,成人一般肌膚
12,足腿疲勞按摩油,Tired Feet and Legs Massage Oil,足腿疲勞,tired_feet_legs,葡萄籽油或甜杏仁油,30,1.5,9,足底、小腿，避開靜脈曲張凸起處,久站或運動後由足部往小腿方向輕柔按摩。,薄荷提供清涼感，絲柏常見於腿部循環感配方；屬按摩舒緩。,薄荷清涼感可能刺激敏感肌；不可用於幼兒。,疑似血栓、單側腫痛、靜脈曲張嚴重、糖尿病足部問題者先就醫。,成人足腿局部使用
